"2015-05-10";"ANCO-0013";"Death Metal";"瞬殺";"0";"";""
"2015-05-10";"ANCO-0013";"Death Metal";"瞬殺";"1";"The Only Way Out";"パインツリー"
"2015-05-10";"ANCO-0013";"Death Metal";"瞬殺";"2";"Flowering Night Fever";"パインツリー"
"2015-05-10";"ANCO-0013";"Death Metal";"瞬殺";"3";"A night before";"パインツリー"
"2015-05-10";"ANCO-0013";"Death Metal";"瞬殺";"4";"Chain of Obfuscation";"パインツリー"
"2015-05-10";"ANCO-0013";"Death Metal";"瞬殺";"5";"Nine";"パインツリー"
"2015-05-10";"ANCO-0013";"Death Metal";"瞬殺";"6";"Killing Me If You Can";"パインツリー"
"2015-05-10";"ANCO-0013";"Death Metal";"瞬殺";"7";"Embraced by the Flame (火車の叫ぶ夜に　英語ver)";"パインツリー"
"2015-05-10";"ANCO-0013";"Death Metal";"瞬殺";"8";"The Only Way Out (instrumental)";"パインツリー"
"2015-05-10";"ANCO-0013";"Death Metal";"瞬殺";"9";"Flowering Night Fever (instrumental)";"パインツリー"
"2015-05-10";"ANCO-0013";"Death Metal";"瞬殺";"10";"A night before (instrumental)";"パインツリー"
"2015-05-10";"ANCO-0013";"Death Metal";"瞬殺";"11";"Chain of Obfuscation (instrumental)";"パインツリー"
"2015-05-10";"ANCO-0013";"Death Metal";"瞬殺";"12";"Nine (instrumental)";"パインツリー"
"2015-05-10";"ANCO-0013";"Death Metal";"瞬殺";"13";"Killing Me If You Can (instrumental)";"パインツリー"
"2015-05-10";"ANCO-0013";"Death Metal";"瞬殺";"14";"Embraced by the Flame (instrumental)";"パインツリー"
